"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Underlying","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2026-04-02","15:59:00",6581.43,"1 Apr 2 6585 P STO 3.80 | 1 Apr 2 6510 P BTO 0.05",365,6582.69,"2026-04-02","16:00:00",231,"Expired",131.6,36.054794520547944,1,1046029.4,6915,"SPX","19 3:41 - 3:59 - MEIC 3 .85x",2.4,0,76,63,-62.71,68.82,36.71,0
"2026-04-02","15:59:00",6581.43,"1 Apr 2 6580 C STO 2.25 | 1 Apr 2 6655 C BTO 0.05",210,6582.58,"2026-04-02","16:00:00",405,"Stop Loss",-199.8,-95.14285714285715,1,1044832.4,6915,"SPX","19 3:41 - 3:59 - MEIC 3 .85x",2.4,2.4,45,44,-62.71,68.82,0,-90.48
"2026-04-02","15:58:00",6582.62,"1 Apr 2 6585 P STO 3.10 | 1 Apr 2 6510 P BTO 0.05",295,6582.69,"2026-04-02","16:00:00",231,"Expired",61.6,20.88135593220339,1,1051304,6870,"SPX","19 3:41 - 3:59 - MEIC 3 .85x",2.4,0,62,63,-62.71,70.01,21.69,-27.12
"2026-04-02","15:58:00",6582.62,"1 Apr 2 6580 C STO 3.40 | 1 Apr 2 6655 C BTO 0.05",325,6582.69,"2026-04-02","16:00:00",269,"Expired",53.6,16.49230769230769,1,1046410.6,6870,"SPX","19 3:41 - 3:59 - MEIC 3 .85x",2.4,0,68,44,-62.71,70.01,32.31,0
"2026-04-02","15:57:00",6581.08,"1 Apr 2 6585 P STO 4.35 | 1 Apr 2 6510 P BTO 0.05",420,6582.69,"2026-04-02","16:00:00",231,"Expired",186.6,44.42857142857143,1,1053805,6820,"SPX","19 3:41 - 3:59 - MEIC 3 .85x",2.4,0,87,63,-62.71,68.47,45,0
"2026-04-02","15:57:00",6581.08,"1 Apr 2 6580 C STO 2.65 | 1 Apr 2 6655 C BTO 0.05",250,6582.69,"2026-04-02","16:00:00",269,"Expired",-21.4,-8.559999999999999,1,1052918.2,6820,"SPX","19 3:41 - 3:59 - MEIC 3 .85x",2.4,0,53,44,-62.71,68.47,12,-34
"2026-04-02","15:56:00",6582.32,"1 Apr 2 6585 P STO 3.40 | 1 Apr 2 6510 P BTO 0.05",325,6582.69,"2026-04-02","16:00:00",231,"Expired",91.6,28.18461538461538,1,1055810.8,6820,"SPX","19 3:41 - 3:59 - MEIC 3 .85x",2.4,0,68,63,-62.71,69.71,28.92,-32.31
"2026-04-02","15:56:00",6582.32,"1 Apr 2 6580 C STO 3.60 | 1 Apr 2 6655 C BTO 0.05",345,6582.69,"2026-04-02","16:00:00",269,"Expired",73.6,21.333333333333332,1,1054676.4,6820,"SPX","19 3:41 - 3:59 - MEIC 3 .85x",2.4,0,72,44,-62.71,69.71,36.23,0
"2026-04-02","15:55:00",6578.76,"1 Apr 2 6580 P STO 2.90 | 1 Apr 2 6505 P BTO 0.05",275,6582.69,"2026-04-02","16:00:00",0,"Expired",272.6,99.12727272727273,1,1051819.2,7045,"SPX","19 3:41 - 3:59 - MEIC 3 .85x",2.4,0,58,2,-62.71,66.15,100,0
"2026-04-02","15:55:00",6578.76,"1 Apr 2 6580 C STO 1.85 | 1 Apr 2 6655 C BTO 0.05",170,6582.32,"2026-04-02","15:56:00",330,"Stop Loss",-164.8,-96.94117647058825,1,940374.6,7045,"SPX","19 3:41 - 3:59 - MEIC 3 .85x",2.4,2.4,37,72,-62.71,66.15,0,-270.59
"2026-04-02","15:54:00",6577.8,"1 Apr 2 6580 P STO 3.45 | 1 Apr 2 6505 P BTO 0.05",330,6582.69,"2026-04-02","16:00:00",0,"Expired",327.6,99.27272727272728,1,1053618.4,7000,"SPX","19 3:41 - 3:59 - MEIC 3 .85x",2.4,0,69,2,-62.71,65.19,100,0
"2026-04-02","15:54:00",6577.8,"1 Apr 2 6580 C STO 1.75 | 1 Apr 2 6655 C BTO 0.05",160,6582.32,"2026-04-02","15:56:00",315,"Stop Loss",-159.8,-99.875,1,940214.8,7000,"SPX","19 3:41 - 3:59 - MEIC 3 .85x",2.4,2.4,35,72,-62.71,65.19,0,-293.75
