"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Underlying","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2026-03-31","15:59:00",6524.61,"1 Apr 2 6445 P STO 19.35 | 1 Apr 2 6345 P BTO 5.75",1350,6527.27,"2026-03-31","16:00:00",1345,"Exited at Specified Time",0.2,0.014814814814814815,1,174145.4,7360,"SPX","19 3:41 - 3:59 - 2DTE IC  .25x EOD Close",2.4,2.4,3.365,3.342,52.16,128.73,1.11,0
"2026-03-31","15:59:00",6524.61,"1 Apr 2 6600 C STO 14.05 | 1 Apr 2 6700 C BTO 1.15",1280,6527.27,"2026-03-31","16:00:00",1345,"Exited at Specified Time",-69.8,-5.453125,1,174145.2,7360,"SPX","19 3:41 - 3:59 - 2DTE IC  .25x EOD Close",2.4,2.4,12.217,14.35,52.16,128.73,0,-4.3
"2026-03-31","15:58:00",6523.75,"1 Apr 2 6445 P STO 19.15 | 1 Apr 2 6345 P BTO 5.60",1345,6524.61,"2026-03-31","15:59:00",1370,"Exited at Specified Time",-29.8,-2.2156133828996283,1,174215,7390,"SPX","19 3:41 - 3:59 - 2DTE IC  .25x EOD Close",2.4,2.4,3.42,3.365,52.16,127.87,0,-1.12
"2026-03-31","15:58:00",6523.75,"1 Apr 2 6600 C STO 13.80 | 1 Apr 2 6700 C BTO 1.15",1255,6524.61,"2026-03-31","15:59:00",1300,"Exited at Specified Time",-49.8,-3.96812749003984,1,174244.8,7390,"SPX","19 3:41 - 3:59 - 2DTE IC  .25x EOD Close",2.4,2.4,12,12.217,52.16,127.87,0,-2.79
"2026-03-31","15:57:00",6519.28,"1 Apr 2 6440 P STO 19.15 | 1 Apr 2 6340 P BTO 5.65",1340,6523.75,"2026-03-31","15:58:00",1290,"Exited at Specified Time",45.2,3.3731343283582094,1,174294.6,7355,"SPX","19 3:41 - 3:59 - 2DTE IC  .25x EOD Close",2.4,2.4,3.389,3.415,52.16,123.4,4.48,0
"2026-03-31","15:57:00",6519.28,"1 Apr 2 6595 C STO 14.35 | 1 Apr 2 6695 C BTO 1.30",1295,6523.75,"2026-03-31","15:58:00",1395,"Exited at Specified Time",-104.8,-8.092664092664092,1,174249.4,7355,"SPX","19 3:41 - 3:59 - 2DTE IC  .25x EOD Close",2.4,2.4,11.038,11.654,52.16,123.4,0,-6.95
"2026-03-31","15:56:00",6522.92,"1 Apr 2 6445 P STO 19.45 | 1 Apr 2 6345 P BTO 5.70",1365,6519.28,"2026-03-31","15:57:00",1440,"Exited at Specified Time",-79.8,-5.846153846153846,1,174354.2,7345,"SPX","19 3:41 - 3:59 - 2DTE IC  .25x EOD Close",2.4,2.4,3.412,3.383,52.16,127.04,0,-4.76
"2026-03-31","15:56:00",6522.92,"1 Apr 2 6600 C STO 14.15 | 1 Apr 2 6700 C BTO 1.25",1280,6519.28,"2026-03-31","15:57:00",1195,"Exited at Specified Time",80.2,6.265625,1,174434,7345,"SPX","19 3:41 - 3:59 - 2DTE IC  .25x EOD Close",2.4,2.4,11.32,11.304,52.16,127.04,7.42,0
"2026-03-31","15:55:00",6523.92,"1 Apr 2 6445 P STO 19.25 | 1 Apr 2 6345 P BTO 5.80",1335,6522.92,"2026-03-31","15:56:00",1385,"Exited at Specified Time",-54.8,-4.104868913857677,1,174353.8,7370,"SPX","19 3:41 - 3:59 - 2DTE IC  .25x EOD Close",2.4,2.4,3.319,3.412,52.16,128.04,0,-3
"2026-03-31","15:55:00",6523.92,"1 Apr 2 6600 C STO 14.25 | 1 Apr 2 6700 C BTO 1.30",1285,6522.92,"2026-03-31","15:56:00",1300,"Exited at Specified Time",-19.8,-1.5408560311284047,1,174408.6,7370,"SPX","19 3:41 - 3:59 - 2DTE IC  .25x EOD Close",2.4,2.4,10.962,11.32,52.16,128.04,0,-0.39
"2026-03-31","15:54:00",6523.8,"1 Apr 2 6445 P STO 18.95 | 1 Apr 2 6345 P BTO 5.70",1315,6523.92,"2026-03-31","15:55:00",1355,"Exited at Specified Time",-44.8,-3.4068441064638777,1,174428.4,7390,"SPX","19 3:41 - 3:59 - 2DTE IC  .25x EOD Close",2.4,2.4,3.325,3.319,52.16,127.92,0,-2.28
